total_length,flags,csum,src_ip,src_port,port_no,Label
62,0,8379,84.37.251.200,55809,1,0
62,0,32572,92.198.148.166,59330,1,0
62,0,59238,249.242.143.79,54086,1,0
62,0,61069,141.113.244.169,64573,1,0
62,0,36813,248.29.232.189,61114,1,0
62,0,4921,61.223.31.145,51102,1,0
62,0,27423,111.74.150.63,60898,1,0
62,0,49791,4.89.169.208,53698,1,0
62,0,34256,158.215.76.1,59540,1,0
62,0,36127,162.46.65.91,51405,1,0
62,0,35062,183.69.48.109,60096,1,0
61,0,35417,103.150.126.186,64216,1,0
62,0,57684,232.206.166.133,60202,1,0
62,0,2475,46.24.56.230,60282,1,0
62,0,47878,110.164.70.254,65247,1,0
62,0,40459,83.11.127.146,59637,1,0
62,0,53518,29.147.130.7,51862,1,0
62,0,44087,158.117.37.252,61611,1,0
62,0,15268,73.178.235.82,52416,1,0
62,0,777,92.167.16.249,49974,1,0
62,0,47275,86.223.97.30,49448,1,0
62,0,46954,59.106.125.212,51246,1,0
62,0,22293,73.54.208.93,49383,1,0
62,0,20423,96.106.192.119,49728,1,0
62,0,25962,105.158.161.160,62288,1,0
62,0,53927,241.176.172.80,54842,1,0
62,0,4682,164.77.186.17,52467,1,0
61,0,1954,230.77.130.186,64066,1,0
62,0,12323,54.142.9.248,58011,1,0
62,0,63667,44.166.75.79,59464,1,0
62,0,34950,213.90.18.200,62467,1,0
62,0,33430,160.153.77.121,54894,1,0
62,0,24907,136.224.134.125,49448,1,0
62,0,27478,159.146.101.192,59998,1,0
62,0,29108,252.72.2.172,57407,1,0
62,0,64619,79.41.37.20,56171,1,0
62,0,16672,243.224.59.168,53654,1,0
62,0,59548,92.109.43.159,62401,1,0
62,0,11313,193.39.131.80,58471,1,0
62,0,61304,83.131.45.173,65487,1,0
62,0,52076,136.208.28.108,54331,1,0
62,0,29955,210.8.41.157,50968,1,0
62,0,25907,181.96.86.21,65209,1,0
62,0,852,42.157.66.184,58864,1,0
62,0,15814,102.198.204.28,56279,1,0
62,0,2750,108.124.249.110,53270,1,0
62,0,16730,248.176.54.158,61870,1,0
62,0,51361,55.57.112.206,58034,1,0
61,0,28057,57.225.201.47,56993,1,0
62,0,33057,45.231.193.160,61768,1,0
62,0,40652,138.249.70.227,58013,1,0
62,0,4018,37.118.59.129,65224,1,0
62,0,37800,241.71.235.184,60596,1,0
62,0,21694,48.199.235.35,65459,1,0
62,0,8297,61.92.18.228,49618,1,0
62,0,1339,72.134.34.232,61191,1,0
62,0,49136,157.118.19.66,55626,1,0
62,0,10652,69.177.1.92,62644,1,0
62,0,56269,135.102.13.117,65189,1,0
62,0,65500,4.105.108.99,61764,1,0
62,0,65523,189.159.179.21,64380,1,0
62,0,1284,90.132.17.33,51315,1,0
62,0,17547,5.29.39.1,54511,1,0
62,0,58401,217.163.178.227,63030,1,0
62,0,19327,71.203.221.94,55478,1,0
62,0,40127,103.249.107.240,59213,1,0
62,0,6014,106.197.238.101,55562,1,0
62,0,38812,118.61.98.207,57778,1,0
62,0,17520,16.240.27.73,50333,1,0
62,0,57102,36.27.109.127,55872,1,0
